ts,coin,addr,kind,side,szi_prev,szi,delta,entryPx,mark
2026-08-20T21:42:31+00:00,BTC,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,OPEN,LONG,0.0,100.0,100.0,72713.7,72746.7
2026-08-20T21:42:31+00:00,BTC,0xa445a0a15b1d50fa0c4bfe6796d9447e0da5329d,OPEN,SHORT,0.0,-265.7582,-265.7582,71209.0,72746.7
2026-08-20T21:42:31+00:00,BTC,0xacb66d1996501bcc82a0e7819c9e041599f5efbd,OPEN,SHORT,0.0,-10.0,-10.0,69219.2,72746.7
2026-08-20T21:42:31+00:00,BTC,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,ADD,SHORT,-1069.0544,-1090.46416,-21.409760000000006,63831.3,72746.7
2026-08-20T21:42:31+00:00,BTC,0xba0898f80da916730912bb2c2a18b8d76bc8985c,OPEN,LONG,0.0,5.0,5.0,81099.4,72746.7
2026-08-20T21:42:31+00:00,BTC,0xbc1bc64be47052fbab69d12fe5da1c3327788d1b,OPEN,LONG,0.0,51.97226,51.97226,71950.7,72746.7
2026-08-20T21:42:31+00:00,BTC,0xbd1c84113c6deb5044be0c2221f9e9403811ff0e,OPEN,LONG,0.0,200.0,200.0,59327.7,72746.7
2026-08-20T21:42:31+00:00,BTC,0xc3704b5ec0f8b3015276b773b8f68ca66776df51,OPEN,LONG,0.0,90.20057,90.20057,67556.0,72746.7
2026-08-20T21:42:31+00:00,BTC,0xd4c1f7e8d876c4749228d515473d36f919583d1d,OPEN,SHORT,0.0,-157.56546,-157.56546,72282.4,72746.7
2026-08-20T21:42:31+00:00,BTC,0xd62d484bda5391d75b414e68f9ddcedb207b7d91,OPEN,SHORT,0.0,-278.76925,-278.76925,75150.5,72746.7
2026-08-20T21:42:31+00:00,BTC,0xda744273f80b22412417f7cfe0503f3d721f987d,OPEN,LONG,0.0,70.0,70.0,64968.1,72746.7
2026-08-20T21:42:31+00:00,BTC,0xe09726ff25f5001f37b15049f54116cb83d7d0fe,OPEN,SHORT,0.0,-25.0,-25.0,71277.2,72746.7
2026-08-20T21:42:31+00:00,BTC,0xec4a6f59960fb55a7fa49262e2628687b322cf62,OPEN,LONG,0.0,221.00258,221.00258,62821.6,72746.7
2026-08-20T21:42:31+00:00,BTC,0xec7f9f5b31b8f5da6ac6c0973bbd496e16f9df39,OPEN,LONG,0.0,200.0,200.0,59252.9,72746.7
2026-08-20T21:42:31+00:00,BTC,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,REDUCE,LONG,-25.15917,15.4113,40.57047,72668.7,72746.7
2026-08-20T21:42:31+00:00,BTC,0xf517639a8872e756ac98d3c65507d2ebc25cc032,OPEN,LONG,0.0,111.21421,111.21421,71373.0,72746.7
2026-08-20T21:42:31+00:00,BTC,0xf5d81a135f756ca16544e53c20fc20643ec3ad53,REDUCE,SHORT,-4.09282,-0.05019,4.04263,72778.0,72746.7
2026-08-20T21:42:31+00:00,BTC,0xf822fa0fd364c573fcdb7009fcf47601bc8be01a,REDUCE,SHORT,-86.64517,-52.49514,34.150029999999994,62412.1,72746.7
2026-08-20T21:42:31+00:00,BTC,0xfc27136e42af1732ddc9ce2605ea9bff1b959d9d,REDUCE,SHORT,-98.35311,-46.75321,51.5999,71829.7,72746.7
2026-08-20T21:42:31+00:00,BTC,0xfc667adba8d4837586078f4fdcdc29804337ca06,REDUCE,LONG,-47.66766,18.91377,66.58143,72832.0,72746.7
2026-08-20T23:00:28+00:00,BTC,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,CLOSE,LONG,69.0,0.0,-69.0,,72657.5
2026-08-20T23:00:28+00:00,BTC,0x023a3d058020fb76cca98f01b3c48c8938a22355,ADD,LONG,-26.57596,38.01377,64.58973,72544.6,72657.5
2026-08-20T23:00:28+00:00,BTC,0x31dea2516beee92135b96f464eeec3cf292a13f2,REDUCE,SHORT,-20.42851,-6.40155,14.026959999999999,72560.0,72657.5
2026-08-20T23:00:28+00:00,BTC,0x3bcae23e8c380dab4732e9a159c0456f12d866f3,ADD,SHORT,-167.08056,-180.63695,-13.556390000000022,72704.2,72657.5
2026-08-20T23:00:28+00:00,BTC,0x69906b0ed626ca01a4b7c001e5711e5714ccf207,OPEN,SHORT,0.0,-10.0,-10.0,71025.2,72657.5
2026-08-20T23:00:28+00:00,BTC,0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,REDUCE,SHORT,-3.03721,-1.44194,1.59527,72547.9,72657.5
2026-08-20T23:00:28+00:00,BTC,0x7fdafde5cfb5465924316eced2d3715494c517d1,REDUCE,SHORT,-453.667,-448.7337,4.933299999999974,70895.2,72657.5
2026-08-20T23:00:28+00:00,BTC,0xacb66d1996501bcc82a0e7819c9e041599f5efbd,CLOSE,SHORT,-10.0,0.0,10.0,,72657.5
2026-08-20T23:00:28+00:00,BTC,0xd4c1f7e8d876c4749228d515473d36f919583d1d,REDUCE,SHORT,-157.56546,-154.40897,3.156489999999991,72282.8,72657.5
2026-08-20T23:00:28+00:00,BTC,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,ADD,LONG,15.4113,84.63279,69.22149,72617.0,72657.5
2026-08-20T23:00:28+00:00,BTC,0xf822fa0fd364c573fcdb7009fcf47601bc8be01a,REDUCE,SHORT,-52.49514,-41.83263,10.662509999999997,62412.1,72657.5
2026-08-20T23:00:28+00:00,BTC,0xfc27136e42af1732ddc9ce2605ea9bff1b959d9d,REDUCE,SHORT,-46.75321,-26.6677,20.085510000000003,71829.8,72657.5
2026-08-20T23:00:28+00:00,BTC,0xfc667adba8d4837586078f4fdcdc29804337ca06,ADD,LONG,18.91377,25.77014,6.856370000000002,72767.3,72657.5
2026-08-20T23:54:38+00:00,BTC,0x023a3d058020fb76cca98f01b3c48c8938a22355,ADD,LONG,38.01377,54.30769,16.29392,72759.4,73050.0
2026-08-20T23:54:38+00:00,BTC,0x0c684f333a7e120bce61383da670bbb0157e82d0,ADD,SHORT,-17.0347,-22.49232,-5.457619999999999,70484.2,73050.0
2026-08-20T23:54:38+00:00,BTC,0x31dea2516beee92135b96f464eeec3cf292a13f2,REDUCE,SHORT,-6.40155,-2.19882,4.202730000000001,73100.8,73050.0
2026-08-20T23:54:38+00:00,BTC,0x362ad6209a5e904a5569f69884375809c5781d9f,REDUCE,LONG,176.5459,0.0001,-176.54579999999999,64402.8,73050.0
2026-08-20T23:54:38+00:00,BTC,0x3bcae23e8c380dab4732e9a159c0456f12d866f3,ADD,SHORT,-180.63695,-212.56073,-31.923779999999994,72794.2,73050.0
2026-08-20T23:54:38+00:00,BTC,0x69906b0ed626ca01a4b7c001e5711e5714ccf207,CLOSE,SHORT,-10.0,0.0,10.0,,73050.0
2026-08-20T23:54:38+00:00,BTC,0x77eeda199553e33b246e4b4666849b9ad0972902,REDUCE,LONG,92.37907,86.46236,-5.916709999999995,64257.8,73050.0
2026-08-20T23:54:38+00:00,BTC,0x7b7f72a28fe109fa703eeed7984f2a8a68fedee2,ADD,LONG,2.27007,10.40263,8.13256,73045.8,73050.0
2026-08-20T23:54:38+00:00,BTC,0x7fdafde5cfb5465924316eced2d3715494c517d1,REDUCE,SHORT,-448.7337,-445.43679,3.2969100000000253,70895.2,73050.0
2026-08-20T23:54:38+00:00,BTC,0x936cf4fb95c30ce83f658b5bbb247e4bb381bb0f,ADD,LONG,181.14101,182.52851,1.387500000000017,64444.4,73050.0
2026-08-20T23:54:38+00:00,BTC,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,ADD,LONG,84.63279,111.75852,27.125730000000004,72975.8,73050.0
2026-08-20T23:54:38+00:00,BTC,0xf5d81a135f756ca16544e53c20fc20643ec3ad53,ADD,SHORT,0.6493,-1.93472,-2.5840199999999998,73002.6,73050.0
2026-08-20T23:54:38+00:00,BTC,0xfc27136e42af1732ddc9ce2605ea9bff1b959d9d,REDUCE,SHORT,-26.6677,-5.4932,21.174500000000002,72067.0,73050.0
2026-08-20T23:54:38+00:00,BTC,0xfc667adba8d4837586078f4fdcdc29804337ca06,ADD,LONG,25.77014,38.08431,12.31417,72883.4,73050.0
2026-08-21T03:30:56+00:00,BTC,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,OPEN,LONG,0.0,200.0,200.0,74224.3,74619.0
2026-08-21T03:30:56+00:00,BTC,0x023a3d058020fb76cca98f01b3c48c8938a22355,REDUCE,LONG,54.30769,38.83586,-15.471830000000004,74415.1,74619.0
2026-08-21T03:30:56+00:00,BTC,0x0c684f333a7e120bce61383da670bbb0157e82d0,ADD,SHORT,-22.49232,-27.91296,-5.420640000000002,71126.6,74619.0
2026-08-21T03:30:56+00:00,BTC,0x31dea2516beee92135b96f464eeec3cf292a13f2,ADD,SHORT,-2.19882,-37.81246,-35.613640000000004,74569.6,74619.0
2026-08-21T03:30:56+00:00,BTC,0x362ad6209a5e904a5569f69884375809c5781d9f,ADD,SHORT,0.0001,-369.05822,-369.05832,73863.9,74619.0
2026-08-21T03:30:56+00:00,BTC,0x3bcae23e8c380dab4732e9a159c0456f12d866f3,REDUCE,SHORT,-212.56073,-119.49448,93.06625000000001,74653.2,74619.0
2026-08-21T03:30:56+00:00,BTC,0x469e9a7f624b04c24f0e64edf8d8a277e6bf58a5,ADD,SHORT,-60.0,-110.0,-50.0,73166.1,74619.0
2026-08-21T03:30:56+00:00,BTC,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,ADD,SHORT,-848.6567,-865.76458,-17.107880000000023,63336.9,74619.0
2026-08-21T03:30:56+00:00,BTC,0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,ADD,SHORT,-1.16918,-8.18719,-7.018009999999999,74713.9,74619.0
2026-08-21T03:30:56+00:00,BTC,0x77eeda199553e33b246e4b4666849b9ad0972902,REDUCE,LONG,86.46236,26.25472,-60.207640000000005,64257.8,74619.0
2026-08-21T03:30:56+00:00,BTC,0x7b7f72a28fe109fa703eeed7984f2a8a68fedee2,ADD,SHORT,10.40263,-19.58118,-29.98381,74590.1,74619.0
2026-08-21T03:30:56+00:00,BTC,0x7fdafde5cfb5465924316eced2d3715494c517d1,REDUCE,SHORT,-445.43679,-436.07409,9.362699999999961,70895.2,74619.0
2026-08-21T03:30:56+00:00,BTC,0x8f78cb4c11dd66b99b2172b4c1ae05843bde87e7,OPEN,LONG,0.0,126.36012,126.36012,63683.6,74619.0
2026-08-21T03:30:56+00:00,BTC,0x92b75a5bfb7be7911747276ad335b8f5da3ce0f4,REDUCE,LONG,340.13246,290.13246,-50.0,65089.1,74619.0
2026-08-21T03:30:56+00:00,BTC,0x936cf4fb95c30ce83f658b5bbb247e4bb381bb0f,REDUCE,LONG,182.52851,144.68861,-37.8399,64444.4,74619.0
2026-08-21T03:30:56+00:00,BTC,0xaac091f502a773498fb9336f41500fd13098245b,OPEN,LONG,0.0,80.0,80.0,61389.0,74619.0
2026-08-21T03:30:56+00:00,BTC,0xb5b3f3caf9d778b1293e5cd29f32e84b04c67a08,OPEN,LONG,0.0,460.0,460.0,66720.9,74619.0
2026-08-21T03:30:56+00:00,BTC,0xd4c1f7e8d876c4749228d515473d36f919583d1d,ADD,SHORT,-153.51688,-251.36525,-97.84837000000002,73268.7,74619.0
2026-08-21T03:30:56+00:00,BTC,0xe86b057f5eb764c9738d6b0d38170befd0723664,OPEN,SHORT,0.0,-9.23365,-9.23365,74591.3,74619.0
2026-08-21T03:30:56+00:00,BTC,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,REDUCE,LONG,111.75852,45.04396,-66.71456,74351.0,74619.0
2026-08-21T03:30:56+00:00,BTC,0xf5d81a135f756ca16544e53c20fc20643ec3ad53,REDUCE,SHORT,-1.93472,-0.26801,1.66671,74596.0,74619.0
2026-08-21T03:30:56+00:00,BTC,0xfc27136e42af1732ddc9ce2605ea9bff1b959d9d,ADD,SHORT,-5.4932,-196.99091,-191.49771,74673.2,74619.0
