addr,av
0x484bc1608211d0604bf70bae72792a56884562f8,40295722.046904
0x980a88234fd755cc40a2edc2ab2bf41ffc33a16a,40251816.259648
0x0c46eb73fae2816f219fcf11f50d6d3c59b5819e,40191377.172158
0x320c8988e3d1b5198f335802d7bfd2728a8fcac6,40181828.455574
0xff4cd3826ecee12acd4329aada4a2d3419fc463c,40156872.41117699
0xf605cd3adabbc3110bc3efb85ebe7be57590a527,40009942.761422
0xbcd5eaedcb8b975a1310f954ede23e6d23ab7e49,39998596.12688
0x987f82a4a19848eaac4fe0be550d1eb4e1518573,39906241.19534
0x14972b3f0140ad3e80f191d4b3f5728d7ee5a652,39889620.077728
0x8888888c43cbb7e1c4132542e46831bffd866ed3,39853238.476169
0x08e9c89f46dccee91bdb85c6532eb93a4c335efe,39797922.008311
0x05ffafc6c0efe96584e7237cf27132fcd9d308ce,39789378.135296
0xfe7409d80806b7477b55837f741f726809a0785b,39701707.277819
0x1abd8168ea60b37a6a8cc149fa058910d89b0767,39701348.027383
0x35e7771e1b64f8b5c1c9efa82e2242aecd4153b1,39606525.486476
0x0b8aa35c28b7c6ab18f11dc168f437a8a69fd4f8,39490361.864837
0xd47587702a91731dc1089b5db0932cf820151a91,39362347.426658
0x156115e100141e9330620c253225cc5ee598a31a,37760267.908497
0xa875890465da20062bcf3b024bf7d54e69c725a8,37738751.118021
0xebe126adabe1a8f08d3ce53b45e7cc994ca14070,37544666.28469
0x023a3d058020fb76cca98f01b3c48c8938a22355,36250998.206374
0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,35776680.036868
0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,35355414.616209
0xa9b95f2a2e7ef219021efc5c04c32761b8553bbd,35350434.354395
0x9e875bd28ee5001478c16cb0c8329116a3c3e816,33693144.461117
0x7dacca323e44f168494c779bb5e7483c468ef410,33329352.363364
0x1ddf630620b6f46f608f4723b569c42225bd0977,32920776.943694
0x06b5659f16110319137220d1efd680053f5e72a2,32538867.996197
0xad492f9cadccce9c3c213edd8ae55c152cd3a3ad,32481069.19156
0xd1e7df6aa8cf46025ef2c3a0ac1fcbb194486018,32311716.351945
0x3996bc88bb4ad176eef721b95810d342096feddf,32282118.674945
0x8261e9f17c81a5bd96f0008bfb3eed7574dea302,32262477.212154
0x5cf738375a667e682f7adfbca83ca89a4655e217,31306624.475234
0xf02d16a272a842f8bac1d9a9e773aba1933454c6,31162660.629245
0x8b30c22c6610be016d13c4a6cfc23986e911d914,31062283.079129
0xb0a55f13d22f66e6d495ac98113841b2326e9540,30000000.0
0x8ea85cbd59affca28162fc286d5c093dd0f8edbc,29626739.036111
0xe44bd27c9f10fa2f89fdb3ab4b4f0e460da29ea8,29525717.87091
0xedcdcaa1f18350c50c10bef860e64daa9785d05a,29499420.24749
0x3dc908374e11623d8eb9f07dfc7a2e5e803a54b0,29358617.674727
0x082e843a431aef031264dc232693dd710aedca88,29324210.23857
0xd87a9fc25130c68c3ea25437c34e0b9317cd7a3d,29132351.203805
0x60a8c761f39696b3b419f31dcda20b405cb685f6,29106433.021057
0x88560b720239179d7f3f9e49ca934a4861593d7f,29085604.774619002
0xfc27136e42af1732ddc9ce2605ea9bff1b959d9d,28735042.622886
0xdfd526409007db0d524a62dedaaba7706736d88e,28149139.324038997
0xc26cbb6483229e0d0f9a1cab675271eda535b8f4,27991676.01971
0xbf49647d017805fcc576ac10f33a788e636f4258,27861393.824766
0xf822fa0fd364c573fcdb7009fcf47601bc8be01a,27536104.539819
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,26714368.850252
0xacf47525324d000a5a5c42c7622a0e1e26b3cd50,26137955.892752
0x9a80d88c21be60e870d07d852390e92d09223cf2,26100025.163145
0xe2321c8324c1da7b3ba790627d0e4ee444188a23,25772231.839015
