ts,coin,mark,oi,funding,premium,n_whales,n_long,n_short,long_sz,short_sz,long_ntl,short_ntl,long_upnl,short_upnl,wavg_entry_long,wavg_entry_short,net_sz,tracked_oi_pct,min_value,n_accounts
2026-08-20T21:42:31+00:00,SOL,87.555,4737181.180000002,1.25e-05,0.0001222229,50,21,29,1053121.54,953824.2,92203532.92409998,83510969.03630999,2465729.032818,-3750150.58813,85.21123634564155,83.62209842932793,99297.34,42.36582186202131,,
2026-08-20T23:00:28+00:00,SOL,87.254,4744153.4,1.25e-05,6.41846e-05,50,25,25,1054834.7,953564.06,92033272.7403,83198404.37959,2145633.1802440006,-3449297.2691090005,85.21489107517037,83.63262535302034,101270.64000000009,42.33418674868312,,
2026-08-20T23:54:38+00:00,SOL,87.684,4743459.899999999,1.25e-05,-6.72802e-05,50,24,26,1056909.36,953501.29,92697811.73509002,83611772.90709001,2628336.38121,-3859261.709449999,85.2196631363857,83.64170239837536,103408.06999999996,42.38279003897558,,
2026-08-21T03:30:56+00:00,SOL,89.432,5453076.719999998,3.35181e-05,0.0005146277,54,22,32,1205744.24,1203871.5,107805399.48066,107650291.478246,6937153.690135001,-5178593.853129,83.65640353437558,85.11842505846013,1872.7399999999616,44.18818703141226,,
2026-08-21T05:20:36+00:00,SOL,90.045,5496938.320000001,2.54948e-05,0.0007779939,54,21,33,1204338.3,1229894.33,108453049.6427,110746640.39795,7710174.976154,-5922926.221177999,83.64996418085599,85.22978842897179,-25556.029999999977,44.28342630557295,,
2026-08-21T07:56:56+00:00,SOL,90.486,4791913.739999998,1.25e-05,0.0001967586,53,23,30,1197584.79,1143617.22,108391730.09464005,103486829.19578,8063749.487509,-5798809.206010001,83.77524774089274,85.42014596675536,53967.57000000008,48.85734879693391,,
2026-08-21T09:55:09+00:00,SOL,92.013,4644318.859999999,1.25e-05,0.0002489371,51,23,28,1193508.5799999998,1163755.86,109804892.686808,107073058.24720502,9696740.374001002,-7251081.537264001,83.87717982003785,85.77565257406651,29752.719999999925,50.75586993611376,,
2026-08-21T11:01:45+00:00,SOL,91.29,4654483.66,1.25e-05,0.0005477951,51,22,29,1191709.64,1114836.2599999998,108819716.71932696,101801486.625124,8859707.656022,-6273509.45895,83.87948481823896,85.68784619100568,76873.38000000005,49.555354975722494,,
2026-08-21T14:41:52+00:00,SOL,91.432,5138971.980000004,3.31922e-05,0.0005582006,52,21,31,1492404.8100000003,1266221.7199999995,136429186.564144,115764030.290912,9086538.836944,-6357889.864808,85.32711803894816,86.4035640632922,226183.08999999985,53.680513159754526,5000000.0,693.0
2026-08-21T16:01:54+00:00,SOL,91.45,5154231.220000004,1.25e-05,0.0003522398,54,22,32,1493167.85,1339682.51,136540334.72123003,122514397.47729,9127607.184929,-6270271.961486999,85.33044773514645,86.7698533513571,153485.33999999997,54.96164683120283,5000000.0,700.0
2026-08-21T17:16:16+00:00,SOL,91.714,5119327.32,1.25e-05,0.0004145078,53,23,30,1492411.6000000003,1349101.7000000002,136843360.55334002,123711956.22322,9491558.635704,-6437064.584643,85.33286376443131,86.9280809444462,143309.90000000008,55.50559912234717,5000000.0,697.0
2026-08-21T19:08:46+00:00,SOL,91.16,5050363.420000002,1.25e-05,0.0004554649,51,20,31,1472837.59,1281453.08,134272779.10744,116819597.4512,8707694.311053,-5675984.715383,85.25382642196007,86.73244665777072,191384.51000000007,54.53648462391245,5000000.0,684.0
2026-08-21T19:52:47+00:00,SOL,91.069,5049954.699999997,1.25e-05,0.0005383728,51,21,30,1473019.2100000002,1278612.12,134118820.97857,116431898.79242198,8537198.090453,-5545645.963886001,85.25454174196547,86.72387148206917,194407.09000000003,54.48823788458937,5000000.0,683.0
2026-08-21T20:53:50+00:00,SOL,91.8818,5106441.2,1.25e-05,0.0002428004,52,22,30,1472711.11,1334178.31,135262136.690774,122574887.709561,9689994.243496,-6544353.2759340005,85.26594081246999,86.96772533912653,138532.8000000001,54.967624419135575,5000000.0,684.0
2026-08-21T21:53:09+00:00,SOL,93.768,5186273.399999994,1.70332e-05,0.0012639094,52,21,31,1469925.7200000002,1311187.7,137829342.830156,122941849.14209402,12511871.123877,-9151727.19126,85.2542585028868,86.78395116594825,158738.01999999996,53.62450463949708,5000000.0,690.0
2026-08-21T22:54:40+00:00,SOL,94.21,5204172.499999999,5.52765e-05,0.0009030544,53,23,30,1484733.9,1327163.5199999998,139840114.84732997,125025567.82591,13510262.939682,-9675030.704081,85.08582303310178,86.91503701744833,157570.37999999998,54.03159522479321,5000000.0,699.0
2026-08-21T23:51:41+00:00,SOL,93.561,5195922.719999997,5.85682e-05,0.0009200321,53,20,33,1483112.0000000002,1335199.38,138800206.43581,124937992.67927,12609578.105476998,-8700281.74865,85.08499857989686,87.05639916102344,147912.61999999997,54.24082558333357,5000000.0,693.0
2026-08-22T03:07:05+00:00,SOL,96.342,5247526.139999998,5.61775e-05,0.0009652038,56,22,34,1487530.63,1396431.7999999998,143285011.70563,134531804.18172997,16674425.456451,-12300661.605283,85.11457742047303,87.5310089801951,91098.82999999996,54.95851479455425,5000000.0,705.0
2026-08-22T04:57:20+00:00,SOL,99.775,5507771.600000004,9.56557e-05,0.0020983936,59,21,38,1495769.34,1545436.0099999998,149359053.43445995,154232354.82825002,22069409.032163,-15643835.649953,85.0997508793007,89.6759607099287,-49666.66999999996,55.216620638372106,5000000.0,727.0
2026-08-22T05:58:25+00:00,SOL,94.482,4985211.699999996,1.40202e-05,0.0013030351,60,23,37,1430153.4200000002,1457010.1499999997,135162115.84635,137710538.74155003,10630249.919802,-7261612.893035001,87.07584608182667,89.53186304179147,-26856.729999999923,57.91456298636227,5000000.0,718.0
2026-08-22T07:46:06+00:00,SOL,94.859,4885551.48,1.38135e-05,0.0004904546,59,23,36,1354758.32,1425179.14,128512118.07884005,135188681.77534997,11245703.346215,-7605975.277488001,86.55888638536356,89.52041270106157,-70420.81999999983,56.90120084457691,5000000.0,720.0
2026-08-22T09:02:21+00:00,SOL,93.768,4851079.120000003,1.25e-05,0.0,58,23,35,1340076.3099999998,1420808.2700000005,125631796.87137,133217258.737224,9628255.408927,-6030045.925663002,86.56484551160673,89.51744848903785,-80731.95999999999,56.912792220135934,5000000.0,716.0
2026-08-22T09:54:31+00:00,SOL,93.829,4851687.200000002,1.25e-05,0.0,58,21,37,1327797.6900000002,1443374.41,124569541.030105,135414392.031928,9713144.778674,-6255233.716373,86.50139627628286,89.48410870988629,-115576.71999999991,57.11769917895776,5000000.0,706.0
2026-08-22T10:53:35+00:00,SOL,93.032,4831346.959999998,1.25e-05,0.00052691,57,23,34,1329496.59,1434785.11,123684982.40269,133476865.65724,8672483.923455,-5108491.241618,86.50827476334933,89.46864699168573,-105288.52,57.215549263719225,5000000.0,707.0
