addr,av,coin,szi,entryPx,notional,upnl,liqPx,lev,levType,ts
0x1e37a337ed460039d1b15bd3bc489de789768d5e,9348959.274959,SOL,636.47,100.9006,59952.164356,-4268.052676,,20,cross,2026-08-24T08:09:18+00:00
0xd4c1f7e8d876c4749228d515473d36f919583d1d,7965769.015321,SOL,-7998.05,90.9557,753408.31195,-25939.291221,881.1397512288,20,cross,2026-08-24T08:09:18+00:00
0x9546b9d4103be41ce13483a8f299d0df0eeb181c,8238789.377542,SOL,-28181.81,94.4605,2654698.32019,7370.603586,301.979589945,20,cross,2026-08-24T08:09:18+00:00
0x6ba889db7f923622d3548f621ecc2054b80c1817,158287.993836,SOL,313.51,94.493,29532.32849,-92.200983,,20,cross,2026-08-24T08:09:18+00:00
0x6859da14835424957a1e6b397d8026b1d9ff7e1e,2573116.065819,SOL,-10288.61,81.4818,969176.77339,-130841.919162,299.4299630839,20,cross,2026-08-24T08:09:18+00:00
0x61ceef212ff4a86933c69fb6aca2fe35d8f2a62b,7064087.234195,SOL,-1999.0,89.6376,188315.795,-9130.10689,283.9641560873,20,cross,2026-08-24T08:09:18+00:00
0x123dbca6a27005a3c4ce10cb66ee8ece8fc13bff,6187464.995637,SOL,12602.76,86.6473,1187243.0058,95246.713215,,20,cross,2026-08-24T08:09:18+00:00
0xb1ec7febea4f841d525785955b7fe0e812d6e86a,3234613.069593,SOL,-0.01,98.5947,0.94205,0.043897,435932576.332683,20,cross,2026-08-24T08:09:18+00:00
0x7b7f72a28fe109fa703eeed7984f2a8a68fedee2,2049557.379421,SOL,1188.82,94.1981,111992.7881,8.108705,,10,cross,2026-08-24T08:09:18+00:00
0x8cc94dc843e1ea7a19805e0cca43001123512b6a,4708242.703027,SOL,-39.44,94.0564,3715.4452,-5.860784,104726.9253594469,20,cross,2026-08-24T08:09:18+00:00
0x0748e296e5a350ec36c8487a1cea406e1b57d4b2,1513125.459355,SOL,10000.0,81.6288,942050.0,125761.68253,,20,cross,2026-08-24T08:09:18+00:00
